canonical	count	symbol	root	quality	pitch_names	root_qual	chord_size
"011011001101"	7	C#m7addA,F,D	C#	minor	C# minor	C# D E F G# A B	7
"011010001010"	17	A#/o7/C#addD	A#	diminished	A# diminished	C# D E G# A#	5
"000001010000"	9470	*	G	other	G other	F G	2
"000001010100"	2481	*	F	major	F major	F G A	3
"000101000111"	9	*	F	major	F major	E- F A B- B	5
"001001101000"	44	DdimaddF#	D	other	D other	D F F# A-	4
"100011010011"	27	C7addF,B	C	major	C major	C E F G B- B	6
"001011100000"	9	*	D	other	D other	D E F F#	4
"000011100100"	19	*	F	major	F major	E F F# A	4
"011001001010"	28	B-7/C#	B-	major	B- major	C# D F A- B-	5
"101000010000"	4916	Csus2	C	other	C other	C D G	3
"000110000101"	212	*	A	other	A other	E- E A B	4
"000101100000"	183	*	E-	minor	E- minor	E- F G-	3
"100110101000"	13	A-7/CaddE	A-	other	A- other	C E- E G- A-	5
"000101001010"	1128	*	F	minor	F minor	E- F A- B-	4
"010000010010"	3190	*	A#	minor	A# minor	C# G A#	3
"000010110001"	886	EmaddF#	E	minor	E minor	E F# G B	4
"001110001000"	21	*	E	major	E major	D D# E G#	4
"001010100001"	774	Bm/DaddE	B	minor	B minor	D E F# B	4
"000100100111"	19	*	A	other	A other	E- G- A B- C-	5
"100000100101"	260	F#dim/CaddB	F#	diminished	F# diminished	C F# A B	4
"000001110001"	26	*	G	major	G major	F F# G B	4
"001000000001"	30732	*	B	minor	B minor	D B	2
"001101011010"	176	E-M11/D	E-	major	E- major	D E- F G A- B-	6
"110100010000"	116	CmaddD-	C	minor	C minor	C D- E- G	4
"000010000110"	313	Apower/EaddB-	A	other	A other	E A B-	3
"010110100001"	28	B/C#addE	B	major	B major	C# D# E F# B	5
"000101100100"	87	*	F	major	F major	E- F G- A	4
"010001011001"	15	C#dom7dim5addG#	C#	other	C# other	C# E# G G# B	5
"111001010100"	9	D-+M7/CaddG,D	D-	augmented	D- augmented	C D- D F G A	6
"000011100101"	10	*	F	major	F major	E F F# A B	5
"110001000010"	190	B-m/C	B-	minor	B- minor	C D- F B-	4
"110000001100"	9	*	A-	other	A- other	C C# A- A	4
