canonical	count	symbol	root	quality	root_qual	common	root_common	pitch_names	chord_size
"001100000000"	2751	*	E-	other	E- other	interval class 1	E- interval class 1	D E-	2
"001011010010"	229	E/ob9/D	E	diminished	E diminished	diminished-major ninth chord	E diminished-major ninth chord	D E F G B-	5
"110000101000"	25	*	A-	major	A- major	tritone quartal tetrachord	A- tritone quartal tetrachord	C D- G- A-	4
"011000110101"	19	*	G	major	G major	phrygian hexamirror	G phrygian hexamirror	C# D F# G A B	6
"100001110000"	10	CsusaddF#	F	other	F other	perfect fourth tetramirror	F perfect fourth tetramirror	C F F# G	4
"101100100101"	13	Ao9/CaddD	A	diminished	A diminished	combinatorial I (I1)	A combinatorial I (I1)	C D E- G- A B	6
"000010010010"	7253	Edim	E	diminished	E diminished	diminished triad	E diminished triad	E G B-	3
"110001001101"	23	D-maj7/C-addA,C-	D-	other	D- other	combinatorial I (I5)	D- combinatorial I (I5)	C D- F A- A C-	6
"100101000110"	1296	F7/CaddB-	F	major	F major	Kumoi pentachord	F Kumoi pentachord	C E- F A B-	5
"100110010100"	26	A/o7/CaddE	A	other	A other	Neapolitan pentachord	A Neapolitan pentachord	C E- E G A	5
"001001100100"	286	DmaddF#	D	other	D other	major-minor tetramirror	D major-minor tetramirror	D F F# A	4
"100101100000"	87	CdimaddF	C	diminished	C diminished	perfect-fourth diminished tetrachord	C perfect-fourth diminished tetrachord	C E- F G-	4
"010001000100"	1802	F+/C#	F	augmented	F augmented	augmented triad	F augmented triad	C# F A	3
"111001101101"	38	*	B	other	B other		B 	C D- D F F# A- A B	8
"010100001001"	62	G#m/C#	G#	minor	G# minor	perfect-fourth minor tetrachord	G# perfect-fourth minor tetrachord	C# D# G# B	4
"101010100000"	322	D9/C	D	major	D major	whole-tone tetramirror	D whole-tone tetramirror	C D E F#	4
"000111010101"	5	E-+addA,F-,F	E-	augmented	E- augmented	combinatorial I (I11)	E- combinatorial I (I11)	E- F- F G A B	6
"011000000011"	37	BmM9/C#	B	minor	B minor	alternating tetramirror	B alternating tetramirror	C# D A# B	4
"000100010110"	612	E-addA	E-	major	E- major	all-interval tetrachord	E- all-interval tetrachord	E- G A B-	4
"110011010000"	7	*	D-	other	D- other	Roma (Gypsy) pentachord	D- Roma (Gypsy) pentachord	C D- F- F G	5
"100101001001"	16	Fm7/C-addC-	F	other	F other	Neapolitan pentachord	F Neapolitan pentachord	C E- F A- C-	5
"110000000000"	580	*	D-	other	D- other	interval class 1	D- interval class 1	C D-	2
"101010000010"	239	C9	C	major	C major	whole-tone tetramirror	C whole-tone tetramirror	C D E B-	4
"101001000001"	1342	Bdim/C	B	diminished	B diminished	minor-second diminished tetrachord	B minor-second diminished tetrachord	C D F B	4
"001001001110"	145	B-7/DaddA	B-	major	B- major	diminished pentacluster	B- diminished pentacluster	D F A- A B-	5
"101101001000"	184	D/ob9/C	D	diminished	D diminished	diminished-major ninth chord	D diminished-major ninth chord	C D E- F A-	5
"100101000101"	58	F7/CaddB	F	major	F major	augmented-sixth pentachord	F augmented-sixth pentachord	C E- F A B	5
"100011000100"	2200	Fmaj7/C	F	major	F major	major seventh chord	F major seventh chord	C E F A	4
"100100010100"	1752	A/o7/C	A	diminished	A diminished	half-diminished seventh chord	A half-diminished seventh chord	C E- G A	4
