canonical	count	symbol	root	quality	root_qual	common	root_common	pitch_names	chord_size
"111010011100"	5	A-+M7/CaddA,D-,D	A-	augmented	A- augmented	chromatic phrygian inverse	A- chromatic phrygian inverse	C D- D E G A- A	7
"011001111101"	29	G7/C#addA,F#,A-	G	major	G major		G 	C# D F F# G A- A B	8
"010001011000"	1671	*	C#	other	C# other	all-interval tetrachord	C# all-interval tetrachord	C# E# G G#	4
"100100001110"	294	A-/CaddA,B-	A-	major	A- major	major-seventh pentacluster	A- major-seventh pentacluster	C E- A- A B-	5
"101010000101"	1339	Am/CaddD,B	A	minor	A minor	dorian pentachord	A dorian pentachord	C D E A B	5
"100111011000"	40	Fm9/CaddE	F	minor	F minor	combinatorial P (P6)	F combinatorial P (P6)	C E- E F G A-	6
"010101001110"	39	A+M7/C#addA#,D#	A	augmented	A augmented	combinatorial RI (RI2)	A combinatorial RI (RI2)	C# D# E# G# A A#	6
"110101100000"	72	CdimaddF,D-	C	diminished	C diminished	locrian pentachord	C locrian pentachord	C D- E- F G-	5
"101101001001"	243	Bo11/C	B	diminished	B diminished	combinatorial I (I11)	B combinatorial I (I11)	C D E- F A- B	6
"011000000010"	1822	*	D	other	D other	major-minor trichord	D major-minor trichord	C# D A#	3
"011100011010"	74	*	A#	minor	A# minor	combinatorial I (I5)	A# combinatorial I (I5)	C# D D# G G# A#	6
"010110110000"	74	C#dimaddF#,D#	C#	diminished	C# diminished	alternating pentachord	C# alternating pentachord	C# D# E F# G	5
"001011001010"	519	B-7/DaddE	B-	major	B- major	augmented-sixth pentachord	B- augmented-sixth pentachord	D E F A- B-	5
"100000100001"	1405	Bpower/C	B	other	B other	tritone-fourth	B tritone-fourth	C F# B	3
"111101000011"	13	B-m/CaddB,E-,D	B-	other	B- other		B- 	C D- D E- F B- B	7
"000011111000"	8	*	E	other	E other	chromatic pentamirror	E chromatic pentamirror	E F F# G G#	5
"011001110000"	19	*	D	other	D other	Asian pentacluster	D Asian pentacluster	C# D F F# G	5
"100010000100"	106597	Am/C	A	minor	A minor	minor triad	A minor triad	C E A	3
"100010110110"	198	F#/ob9/CaddB-	F#	diminished	F# diminished	combinatorial RI (RI8)	F# combinatorial RI (RI8)	C E F# G A B-	6
"001011001011"	67	B-7/DaddE,B	B-	major	B- major	Stravinsky's Petrouchka-chord	B- Stravinsky's Petrouchka-chord	D E F A- B- B	6
"010110000101"	243	A/C#addD#,B	A	major	A major	lydian pentachord	A lydian pentachord	C# D# E A B	5
"110001000001"	307	*	D-	major	D- major	major third tetracluster	D- major third tetracluster	C D- F C-	4
"011011100110"	6	DmM9/C#addA#,F#	D	other	D other	Gypsy (Roma) hexatonic	D Gypsy (Roma) hexatonic	C# D E F F# A A#	7
"110100001100"	352	A-/CaddA,D-	A-	major	A- major	Roma (Gypsy) pentachord	A- Roma (Gypsy) pentachord	C D- E- A- A	5
"000101001101"	258	F/o7/C-addA	F	other	F other	Javanese pentatonic	F Javanese pentatonic	E- F A- A C-	5
"001100001110"	33	*	B-	major	B- major	double pentacluster	B- double pentacluster	D E- A- A B-	5
"000110101000"	594	F-M9/E-	F-	major	F- major	phrygian tetrachord	F- phrygian tetrachord	E- F- G- A-	4
"010111010101"	7	A9/C#addE#,D#	A	other	A other	Neapolitan-major mode	A Neapolitan-major mode	C# D# E E# G A B	7
"001001110111"	24	Gm9/DaddF#,B	G	other	G other		G 	D F F# G A B- B	7
"111100010100"	47	A/o7/CaddD-,D	A	diminished	A diminished		A 	C D- D E- G A	6
"111010000101"	116	Am/CaddB,D-,D	A	minor	A minor	D all combinatorial (P6, I1, RI7)	A D all combinatorial (P6, I1, RI7)	C D- D E A B	6
"100011100000"	94	Fpower/CaddF#,E	F	other	F other	major third testacluster	F major third testacluster	C E F F#	4
